バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,658,248,162,29,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-05-10 20:29
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,1078,446,186,14,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-02-04 16:07
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,9,790,309,172,20,CLEAR,A,11,0,0,0,---,NO PLAY,---,2024-08-18 18:27
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,8,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
3rd style,REINCARNATION,TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,CLEAR,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,6,2,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1127,438,251,66,ASSIST CLEAR,B,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-23 20:23
4th style,B4U,SPEED RAVE,NAOKI,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1081,430,221,46,CLEAR,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-01-14 17:23
4th style,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FAILED,---,9,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,4,0,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,652,252,148,40,FAILED,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-11 20:37
4th style,Clione,DUTCH TRANCE,kors k,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1147,458,231,15,CLEAR,A,11,0,0,0,---,NO PLAY,---,2024-08-13 13:41
4th style,minimalian,MINIMAL,DETROIAN,2,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,1047,429,189,1,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-08-20 19:55
4th style,Voltage (feat. Hidemaru),BIG BEAT,TaQ,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
5th style,Abyss,INTELLIGENCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
5th style,QQQ,TECHNO,TaQ,7,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,1363,477,409,23,CLEAR,A,10,1638,634,370,26,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-10-01 20:34
5th style,Spin the disc,HOUSE,good-cool,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
5th style,THE SHINING POLARIS,EPIC TRANCE,L.E.D. feat. Sana,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
5th style,V,PROGRESSIVE,TAKA,7,2,0,0,0,---,NO PLAY,---,5,0,0,0,---,CLEAR,---,10,1853,739,375,27,CLEAR,A,12,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-30 20:48
6th style,Blueberry Stream,HOUSE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
6th style,fly through the night,TRANCE,Mr.T,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,FAILED,---,7,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-10-20 13:13
6th style,G2,DRUM'N'BASS,Aya,3,0,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,1154,446,262,52,CLEAR,B,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-11 18:34
6th style,Linus,LOUNGE POP,LEGO STUDIO,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1230,531,168,21,CLEAR,AA,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-09-05 20:07
6th style,VJ ARMY,ALL MIX,good-cool,3,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,1323,493,337,12,CLEAR,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-01 20:45
7th style,Bad Routine,FILTER HOUSE,D.J. Spugna,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1208,401,406,30,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-02-09 19:45
7th style,Last Message,EUROBEAT,good-cool feat. Meg,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,9,1245,489,267,26,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-10-01 19:56
7th style,traces,TRANCE,TaQ,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1351,441,469,38,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-09-23 17:35
8th style,abstract,BIG BEAT,TaQ,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,9,1161,377,407,40,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-02-17 17:27
8th style,ALL RIGHT,DRUM'N'BASS,RAM,3,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,FAILED,---,8,851,319,213,28,CLEAR,B,9,1100,443,214,30,CLEAR,A,0,0,0,0,---,NO PLAY,---,2023-12-24 21:07
8th style,Attitude,TRANCE,Y&Co.,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,CLEAR,---,9,1066,374,318,25,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-08-02 20:41
8th style,Colors -Y&Co. Eurobeat Remix-,EUROBEAT,dj TAKA (remixed by 横田商会),2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1390,554,282,31,CLEAR,A,10,1466,579,308,51,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-09-23 17:51
8th style,dual control,GARAGE HOUSE,Mr.T,2,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,1246,480,286,29,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-09-19 19:52
8th style,Giudecca,PSYCHEDELIC TECHNO,D.J.SETUP,3,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,1418,559,300,24,CLEAR,A,11,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-07-04 19:04
8th style,HYPER BOUNDARY GATE,GOA TRANCE,L.E.D.LIGHT,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,9,1589,641,307,29,CLEAR,A,0,0,0,0,---,NO PLAY,---,2024-08-02 20:59
8th style,LAB,RAVE,RAM,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,1488,601,286,21,CLEAR,A,10,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2024-08-27 20:40
8th style,Luv 2 Feel Your Body,2 STEP,Shoichiro Hirata,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,FAILED,---,9,1090,366,358,44,CLEAR,B,0,0,0,0,---,NO PLAY,---,2024-06-20 20:04
